year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2019,Acura,MDX Sport Hybrid,3.0L w/Advance Package,White Diamond Pearl,Ebony,All-wheel Drive,Hybrid,7-Speed Automatic with Auto-Shift,51149,TRUE,TRUE,TRUE,37499
2000,Acura,TL,3.2,Nighthawk Black,Ebony,Front-wheel Drive,Gasoline,5-Speed Automatic,139237,TRUE,FALSE,TRUE,7995
2022,Acura,RDX,Base,Platinum White Pearl,Ebony,Front-wheel Drive,Gasoline,Automatic,8500,FALSE,TRUE,FALSE,38426
2022,Acura,TLX,A-Spec,White,Red,Front-wheel Drive,Gasoline,10-Speed Automatic,7573,FALSE,TRUE,TRUE,45998
2008,Acura,MDX,Technology,White,Lt. Gray,All-wheel Drive,Gasoline,Automatic,99545,FALSE,FALSE,TRUE,10999
2014,Acura,TL,3.5,WHITE,BLACK,Front-wheel Drive,Gasoline,Automatic,97650,FALSE,FALSE,TRUE,16695
2020,Acura,ILX,Premium Package,Platinum White Pearl,Graystone,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,22334,FALSE,TRUE,TRUE,25951
2017,Acura,RDX,Base,White Diamond Pearl,Parchment,Front-wheel Drive,Gasoline,Automatic,64720,FALSE,FALSE,FALSE,21900
2018,Acura,TLX,V6 w/Technology Package,Lunar Silver Metallic,Graystone,Front-wheel Drive,Gasoline,9-Speed Automatic,15943,FALSE,FALSE,TRUE,27521
2013,Acura,TSX,2.4,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,6-Speed Manual,66523,TRUE,FALSE,TRUE,19995
2019,Acura,NSX,,Orange,Ebony,All-wheel Drive,Hybrid,9-Speed Automatic with Auto-Shift,6386,TRUE,FALSE,TRUE,144990
2021,Acura,RDX,Base,Platinum White Pearl,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,6036,FALSE,TRUE,TRUE,35149
2018,Acura,MDX,3.5L,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,12332,FALSE,TRUE,TRUE,31980
2022,Acura,RDX,A-Spec,Silver Metallic,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,20042,FALSE,TRUE,TRUE,44000
2013,Acura,RDX,Base,Black,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,93256,TRUE,TRUE,TRUE,14950
2019,Acura,MDX,3.5L w/Technology Package,Gray,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,31051,FALSE,TRUE,TRUE,32998
2018,Acura,MDX,3.5L w/Technology Package,White Diamond Pearl,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,66794,FALSE,TRUE,TRUE,27987
2022,Acura,MDX,Base,FL,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,10970,FALSE,TRUE,TRUE,45886
2014,Acura,RLX,Technology Package,Black,Ivory,Front-wheel Drive,Gasoline,Automatic,115302,TRUE,FALSE,TRUE,15750
2016,Acura,RDX,,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,131008,FALSE,FALSE,TRUE,12995
2017,Acura,MDX,3.5L w/Technology Package,White Diamond Pearl,Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,96046,FALSE,TRUE,TRUE,24995
2014,Acura,MDX,3.5L w/Technology & Entertainment Pkgs,White Diamond Pearl,Parchment,Front-wheel Drive,Gasoline,6-Speed Automatic,180410,FALSE,FALSE,FALSE,11995
2015,Acura,TLX,FWD,Bellanova White Pearl,Parchment,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,103186,FALSE,FALSE,TRUE,14995
2015,Acura,RDX,Technology Package,White Diamond Pearl,Parchment,All-wheel Drive,Gasoline,6-Speed Automatic,124089,TRUE,FALSE,TRUE,13995
2015,Acura,TLX,Tech,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,135390,FALSE,FALSE,TRUE,14995
2016,Acura,RLX,Technology Package,Bellanova White Pearl,Seacoast,Front-wheel Drive,Gasoline,6-Speed Automatic,173235,TRUE,FALSE,TRUE,13995
2020,Acura,MDX,3.5L w/Technology Package,Majestic Black Pearl,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,41171,FALSE,TRUE,TRUE,34889
