year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2015,Honda,Civic,SE,Gray,Black / Red,Front-wheel Drive,Gasoline,Automatic CVT,37545,FALSE,FALSE,TRUE,18999
2021,Honda,Accord,LX 1.5T,Black,Gray,Front-wheel Drive,Gasoline,Automatic CVT,46325,FALSE,TRUE,FALSE,25488
2008,Honda,Odyssey,Touring,Silver Pearl Metallic,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,153144,TRUE,FALSE,TRUE,7777
2018,Honda,Accord,EX,White,Gray,Front-wheel Drive,Gasoline,Automatic CVT,37691,FALSE,TRUE,TRUE,25998
2021,Honda,Accord,Sport 1.5T,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,49764,FALSE,TRUE,FALSE,26288
2020,Honda,Accord,Sport 1.5T,White,Black,Front-wheel Drive,Gasoline,Automatic,39219,FALSE,TRUE,TRUE,26537
2021,Honda,Accord,Sport 1.5T,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,41375,FALSE,TRUE,FALSE,26388
2014,Honda,CR-V,EX-L,White Diamond Pearl,Black,Front-wheel Drive,Gasoline,Automatic,70795,FALSE,FALSE,TRUE,18995
2018,Honda,Civic,EX,White Orchid Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,74953,TRUE,TRUE,TRUE,21899
2018,Honda,Civic,Sport,Sonic Gray Pearl,Gray,Front-wheel Drive,Gasoline,Automatic CVT,107801,FALSE,TRUE,TRUE,19865
2022,Honda,CR-V,Touring,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,14248,FALSE,TRUE,TRUE,37997
2018,Honda,Accord,EX-L,Radiant Red Metallic,Ivory,Front-wheel Drive,Gasoline,Automatic CVT,45578,FALSE,TRUE,TRUE,23991
2019,Honda,Odyssey,Elite,Crystal Black Pearl,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,15000,FALSE,TRUE,FALSE,43086
2016,Honda,Civic,EX-L,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,135472,FALSE,TRUE,TRUE,15551
2013,Honda,Accord,EX-L,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,130311,TRUE,FALSE,TRUE,12457
2020,Honda,Accord,Sport 1.5T,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,23985,FALSE,TRUE,TRUE,28751
2020,Honda,Civic,EX,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,26044,FALSE,TRUE,TRUE,25931
2009,Honda,Civic,EX,Silver,Gray,Front-wheel Drive,Gasoline,5-Speed Manual,137033,FALSE,FALSE,TRUE,8499
2020,Honda,Civic,Sport,White,Black,Front-wheel Drive,Gasoline,Automatic CVT,19010,FALSE,TRUE,TRUE,24545
2015,Honda,Accord,Sport,Gray,Black,Front-wheel Drive,Gasoline,Automatic,171044,FALSE,FALSE,TRUE,11395
2010,Honda,Civic,LX,Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,144737,TRUE,FALSE,TRUE,7995
2020,Honda,Accord,Sport 1.5T,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,35128,FALSE,TRUE,TRUE,26902
2019,Honda,HR-V,LX,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,40683,FALSE,TRUE,TRUE,20750
2020,Honda,Civic,LX,Rallye Red,Black,Front-wheel Drive,Gasoline,Automatic CVT,32008,TRUE,TRUE,TRUE,19999
2019,Honda,CR-V,Touring,White,Gray,Front-wheel Drive,Gasoline,Automatic CVT,45798,TRUE,FALSE,FALSE,26883
2016,Honda,Civic,EX,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,62736,TRUE,FALSE,TRUE,20998
2019,Honda,Civic Si,Base,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,34860,FALSE,FALSE,TRUE,24999
2021,Honda,CR-V,EX,Sonic Gray Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,18696,FALSE,TRUE,TRUE,30500
2017,Honda,Civic,EX-L,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,75352,FALSE,TRUE,TRUE,19988
2021,Honda,Civic,Sport,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,24947,FALSE,TRUE,TRUE,26500
2022,Honda,HR-V,LX,Modern Steel Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,23655,TRUE,TRUE,TRUE,24995
2020,Honda,HR-V,LX,Modern Steel Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,20723,FALSE,TRUE,TRUE,23000
2018,Honda,Accord,LX,Black,Gray,Front-wheel Drive,Gasoline,Automatic,126703,TRUE,TRUE,TRUE,16699
2015,Honda,Accord,Sport,White,Black,Front-wheel Drive,Gasoline,Automatic,147956,TRUE,FALSE,TRUE,10999
2021,Honda,Accord,Sport 1.5T,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,22265,FALSE,TRUE,TRUE,28995
2011,Honda,Accord,LX,Gray,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,80327,FALSE,FALSE,TRUE,13950
2019,Honda,Civic,Sport,Blue,Gray,Front-wheel Drive,Gasoline,Automatic CVT,71674,FALSE,FALSE,TRUE,21898
2020,Honda,Accord,LX 1.5T,Gray,Gray,Front-wheel Drive,Gasoline,Automatic CVT,33677,FALSE,TRUE,TRUE,25499
2020,Honda,Ridgeline,Black Edition,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,18123,FALSE,TRUE,TRUE,38999
2020,Honda,Civic,EX,White,Black,Front-wheel Drive,Gasoline,Automatic CVT,36234,FALSE,FALSE,TRUE,24998
2021,Honda,Civic,EX,Red,Black,Front-wheel Drive,Gasoline,Automatic CVT,26329,FALSE,TRUE,TRUE,24998
2016,Honda,CR-V,EX-L,White Diamond Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,82400,TRUE,FALSE,FALSE,20987
2018,Honda,Civic,Sport,Modern Steel Metallic,Black / Ivory,Front-wheel Drive,Gasoline,Automatic CVT,56950,FALSE,FALSE,TRUE,22600
2016,Honda,Civic,LX,White,Ivory,Front-wheel Drive,Gasoline,Automatic CVT,83358,TRUE,FALSE,TRUE,19153
2012,Honda,Civic,LX,Dyno Blue Pearl,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,65320,FALSE,FALSE,TRUE,11998
2020,Honda,Civic,LX,White,Black,Front-wheel Drive,Gasoline,Automatic CVT,31744,FALSE,TRUE,TRUE,23998
2018,Honda,Civic,Sport,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,21158,FALSE,FALSE,TRUE,27998
2009,Honda,CR-V,EX,Taffeta White,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,137473,TRUE,FALSE,TRUE,10995
2013,Honda,Odyssey,LX,Silver,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,105038,FALSE,FALSE,FALSE,13995
2018,Honda,CR-V,EX-L,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,59015,TRUE,FALSE,TRUE,24599
2019,Honda,Accord,Sport,Still Night Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,38828,TRUE,TRUE,TRUE,24399
2016,Honda,Accord,Sport,San Marino Red,Black,Front-wheel Drive,Gasoline,Automatic CVT,36509,FALSE,FALSE,TRUE,21323
2020,Honda,Civic,Sport,White,Black,Front-wheel Drive,Gasoline,Automatic CVT,24711,FALSE,TRUE,TRUE,26114
2020,Honda,Civic,EX,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,30830,FALSE,TRUE,TRUE,25897
2020,Honda,Civic,Sport,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,27896,FALSE,TRUE,TRUE,27999
2021,Honda,Passport,Sport,Silver,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,29659,TRUE,TRUE,TRUE,31998
2020,Honda,Civic,LX,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,71874,FALSE,TRUE,TRUE,20698
2017,Honda,Civic,EX,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,43370,FALSE,FALSE,TRUE,26995
2020,Honda,Accord,EX-L 1.5T,Silver,Tan,Front-wheel Drive,Gasoline,Variable,12591,FALSE,TRUE,TRUE,29833
2019,Honda,Civic,EX,Polished Metal Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,74646,FALSE,TRUE,TRUE,21992
2020,Honda,Passport,Touring,White,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,31503,FALSE,TRUE,TRUE,38995
2014,Honda,CR-V,LX,Urban Titanium Metallic,Black,All-wheel Drive,Gasoline,5-Speed Automatic,55056,TRUE,TRUE,TRUE,19899
2022,Honda,Civic,Touring,Meteorite Gray Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,43222,FALSE,TRUE,TRUE,28995
2015,Honda,Crosstour,EX-L,White Diamond Pearl,Black,Front-wheel Drive,Gasoline,Automatic,119014,TRUE,TRUE,TRUE,15495
2021,Honda,HR-V,EX,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,27961,FALSE,TRUE,TRUE,24582
2021,Honda,HR-V,LX,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,24487,FALSE,TRUE,FALSE,24999
2014,Honda,Civic,LX,Silver,Beige,Front-wheel Drive,Gasoline,Automatic CVT,74865,TRUE,TRUE,TRUE,15999
2016,Honda,Civic,LX,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,91075,TRUE,TRUE,TRUE,14950
2021,Honda,Passport,EX-L,Gray,Black,All-wheel Drive,Gasoline,9-Speed Automatic,41000,FALSE,TRUE,FALSE,33395
2013,Honda,CR-V,EX,Gray,Gray,Front-wheel Drive,Gasoline,Automatic,127288,FALSE,TRUE,TRUE,12650
2018,Honda,Civic,Sport,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,84909,FALSE,FALSE,TRUE,19995
2021,Honda,Passport,EX-L,Silver,Black,All-wheel Drive,Gasoline,9-Speed Automatic,40345,FALSE,TRUE,FALSE,32795
2021,Honda,Passport,2WD Sport,Black,Black,Front-wheel Drive,Gasoline,Automatic,43432,FALSE,TRUE,TRUE,28998
2021,Honda,Accord,LX 1.5T,Silver,Gray,Front-wheel Drive,Gasoline,Automatic CVT,49388,FALSE,TRUE,FALSE,23788
2021,Honda,Civic,Sport,UKNOWN,Black,Front-wheel Drive,Gasoline,Automatic CVT,42499,FALSE,TRUE,FALSE,24458
2020,Honda,Civic,LX,Gray,Black,Front-wheel Drive,Gasoline,Automatic,30718,FALSE,TRUE,TRUE,23998
2020,Honda,Accord,Sport 1.5T,Black,Gray,Front-wheel Drive,Gasoline,Automatic CVT,28554,FALSE,FALSE,TRUE,26388
2021,Honda,Civic,Sport,Red,Black,Front-wheel Drive,Gasoline,Automatic,17390,FALSE,TRUE,TRUE,25174
2020,Honda,Civic,EX,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,33131,FALSE,TRUE,TRUE,24994
2009,Honda,Accord,EX-L,Black,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,134971,FALSE,TRUE,TRUE,9900
2021,Honda,Accord,Sport 1.5T,San Marino Red,Black,Front-wheel Drive,Gasoline,Automatic CVT,32032,FALSE,TRUE,TRUE,27595
2019,Honda,Civic,Sport,Aegean Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,26218,FALSE,TRUE,TRUE,24949
2020,Honda,Civic,Sport,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,27894,FALSE,TRUE,TRUE,25959
2012,Honda,Odyssey,EX-L,Alabaster Silver Metallic,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,167910,FALSE,TRUE,TRUE,11699
2018,Honda,Civic,Sport,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,48777,FALSE,FALSE,TRUE,24442
2012,Honda,Civic,LX,Tan,Blue,FWD,Gasoline,5-Speed Automatic,54098,FALSE,FALSE,TRUE,16998
2019,Honda,Pilot,Touring 8-Passenger,Black,Black,AWD,Gasoline,9-Speed Automatic,74264,TRUE,TRUE,FALSE,28197
2016,Honda,CR-V,EX,Alabaster Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,62147,TRUE,FALSE,TRUE,18284
2021,Honda,Civic,EX-L,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,32685,FALSE,TRUE,TRUE,24988
2015,Honda,Odyssey,EX-L,Silver,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,105084,FALSE,FALSE,TRUE,19998
2021,Honda,Civic,EX,Cosmic Blue Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,11822,TRUE,TRUE,TRUE,25495
2018,Honda,Civic,LX,Gray,Gray,Front-wheel Drive,Gasoline,Automatic CVT,104772,FALSE,TRUE,TRUE,17899
2019,Honda,Civic,Sport,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,27601,TRUE,TRUE,TRUE,22995
2020,Honda,HR-V,LX,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,13766,FALSE,TRUE,TRUE,23595
2020,Honda,Civic,Sport,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,12313,FALSE,TRUE,TRUE,24000
2020,Honda,Civic,Sport,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,17775,FALSE,TRUE,TRUE,26000
2022,Honda,Accord,Sport SE,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1651,FALSE,TRUE,FALSE,34500
2019,Honda,Civic,Sport,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,34100,FALSE,FALSE,TRUE,23998
2020,Honda,Accord,EX-L,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,21020,FALSE,TRUE,TRUE,28000
2020,Honda,Accord,Sport 1.5T,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,29258,FALSE,TRUE,TRUE,26200
2022,Honda,Accord,Sport SE,Still Night Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1371,FALSE,TRUE,FALSE,34000
2020,Honda,Civic,Sport,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,5020,FALSE,TRUE,TRUE,25000
2019,Honda,Accord,LX,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,17191,FALSE,TRUE,TRUE,26000
2015,Honda,Civic,LX,Alabaster Silver Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,125209,TRUE,FALSE,TRUE,13393
2018,Honda,Clarity Plug-In Hybrid,Base,Crystal Black Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,84555,FALSE,FALSE,TRUE,20481
2012,Honda,Civic,LX,Red,Red,Front-wheel Drive,Gasoline,5-Speed Automatic,98019,FALSE,TRUE,TRUE,12980
2016,Honda,Pilot,Touring,White Diamond Pearl,Beige,Front-wheel Drive,Gasoline,9-Speed Automatic,104436,FALSE,FALSE,TRUE,21696
2020,Honda,CR-V,EX-L,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,29674,FALSE,TRUE,TRUE,32398
2020,Honda,Civic,LX,Blue,Gray,Front-wheel Drive,Gasoline,Automatic CVT,18851,FALSE,TRUE,TRUE,24498
2020,Honda,Accord,Sport 1.5T,White,Black,Front-wheel Drive,Gasoline,Automatic CVT,35412,FALSE,TRUE,TRUE,33995
2020,Honda,Pilot,EX-L,Gray,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,10447,FALSE,TRUE,TRUE,36998
2020,Honda,HR-V,EX,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,19406,FALSE,TRUE,TRUE,23994
2021,Honda,Civic,Sport,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,19648,FALSE,TRUE,TRUE,26961
2021,Honda,Civic,Sport,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,20470,TRUE,TRUE,TRUE,27729
2014,Honda,CR-V,LX,White,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,149085,FALSE,FALSE,TRUE,14995
2012,Honda,Accord,SE,Silver Metallic,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,122193,FALSE,FALSE,TRUE,12995
2013,Honda,Insight,Base,Polished Metal Metallic,Gray,Front-wheel Drive,Hybrid,Automatic CVT,103209,TRUE,FALSE,TRUE,10888
2017,Honda,CR-V,EX-L,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,26792,TRUE,TRUE,TRUE,28279
2018,Honda,CR-V,EX-L,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,23128,TRUE,TRUE,FALSE,26798
2020,Honda,Accord,Sport 1.5T,Still Night Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,38141,FALSE,TRUE,TRUE,26498
2022,Honda,Pilot,Special Edition,Black Crystal,Black,All-wheel Drive,Gasoline,9-Speed Automatic,35814,FALSE,TRUE,FALSE,35631
2017,Honda,CR-V,LX,Basque Red Pearl II,Gray,Front-wheel Drive,Gasoline,Automatic CVT,81548,FALSE,TRUE,TRUE,19898
2017,Honda,Accord,LX,Modern Steel Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,94092,TRUE,FALSE,TRUE,18298
2022,Honda,Civic,EX,Aegean Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,20795,FALSE,TRUE,TRUE,28898
2020,Honda,Civic,EX,Blue,Gray,Front-wheel Drive,Gasoline,Automatic CVT,65324,FALSE,TRUE,TRUE,25998
2018,Honda,Civic,LX,Taffeta White,Ivory,Front-wheel Drive,Gasoline,Automatic CVT,37615,FALSE,FALSE,TRUE,21997
2020,Honda,Civic,Sport,Red,Black,Front-wheel Drive,Gasoline,Automatic CVT,35121,FALSE,TRUE,TRUE,24960
2020,Honda,Accord,EX-L 1.5T,Gold,Tan,Front-wheel Drive,Gasoline,Variable,14732,FALSE,TRUE,TRUE,27970
2021,Honda,HR-V,LX,White,Gray,Front-wheel Drive,Gasoline,Automatic CVT,12434,FALSE,TRUE,FALSE,25998
2017,Honda,Pilot,Touring,Gray,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,90671,FALSE,FALSE,TRUE,23995
2015,Honda,Civic,LX,Alabaster Silver Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,56950,FALSE,TRUE,TRUE,16559
2020,Honda,Civic,LX,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,45423,FALSE,TRUE,TRUE,23695
2021,Honda,Civic,Sport,Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,Automatic CVT,43991,FALSE,TRUE,TRUE,22409
2020,Honda,Accord,Sport 2.0T,Blue,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,37809,FALSE,FALSE,FALSE,29998
2014,Honda,Civic,LX,Blue,Gray,Front-wheel Drive,Gasoline,Automatic CVT,71229,TRUE,FALSE,TRUE,16998
2021,Honda,Accord,LX 1.5T,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,41364,FALSE,TRUE,FALSE,23989
2021,Honda,Accord,Sport 1.5T,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,46973,FALSE,TRUE,FALSE,26589
2017,Honda,Accord,EX-L,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,93090,TRUE,FALSE,TRUE,21588
2010,Honda,Accord,LX-P,Black,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,163755,FALSE,FALSE,TRUE,9375
2017,Honda,Civic,LX,Cosmic Blue Metallic,Black/Gray,Front-wheel Drive,Gasoline,Automatic,50825,FALSE,FALSE,TRUE,20630
2020,Honda,CR-V,LX,Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,Automatic CVT,52867,FALSE,TRUE,TRUE,24649
2022,Honda,Civic,Sport,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,10651,FALSE,TRUE,TRUE,28998
2015,Honda,Accord,EX,Alabaster Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,74787,FALSE,FALSE,TRUE,19309
2020,Honda,Civic,Sport,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,22521,FALSE,TRUE,TRUE,25998
2010,Honda,Insight,EX,Blue,Gray,Front-wheel Drive,Hybrid,Automatic CVT,91295,FALSE,TRUE,TRUE,10500
2015,Honda,Civic,EX,Gray,Black / Red,FWD,Gasoline,Automatic CVT,70782,FALSE,TRUE,TRUE,18998
2017,Honda,Accord Hybrid,EX-L,White Orchid Pearl,Ivory,Front-wheel Drive,Hybrid,Automatic CVT,80527,FALSE,TRUE,TRUE,21991
2020,Honda,HR-V,EX,Aegean Blue,Black,Front-wheel Drive,Gasoline,Automatic CVT,69375,TRUE,TRUE,TRUE,22788
2020,Honda,Civic,Sport,Polished Metal Metallic,Black,Front-wheel Drive,Gasoline,Automatic,44674,FALSE,TRUE,TRUE,24291
2021,Honda,Civic,Sport,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,34678,FALSE,TRUE,FALSE,24988
2020,Honda,Accord,Sport 1.5T,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,44670,FALSE,TRUE,TRUE,27688
2022,Honda,Passport,TrailSport,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,11100,FALSE,TRUE,FALSE,42188
2020,Honda,Civic,Sport,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,32630,FALSE,TRUE,TRUE,24888
2021,Honda,Civic,Sport,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,40240,FALSE,TRUE,FALSE,24488
2021,Honda,Civic,Sport,Black,Gray,Front-wheel Drive,Gasoline,Automatic CVT,40595,FALSE,TRUE,FALSE,24488
2014,Honda,Pilot,Touring,White,Beige,Front-wheel Drive,Gasoline,Automatic,89886,FALSE,TRUE,TRUE,19999
2020,Honda,Civic,Sport,Gray,Black,Front-wheel Drive,Gasoline,Automatic,42240,FALSE,TRUE,TRUE,24870
2021,Honda,Civic,Sport,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,40714,FALSE,TRUE,FALSE,24988
2021,Honda,Civic,Sport,Black,Gray,Front-wheel Drive,Gasoline,Automatic CVT,40931,FALSE,TRUE,FALSE,24488
2021,Honda,Civic,Sport,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,41006,FALSE,TRUE,FALSE,24188
2013,Honda,Civic,LX,Alabaster Silver Metallic,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,167998,FALSE,FALSE,TRUE,9890
2019,Honda,Clarity Plug-In Hybrid,Touring,Crystal Black Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,44867,FALSE,TRUE,TRUE,27997
2020,Honda,Civic,Sport,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,43720,FALSE,TRUE,TRUE,22299
2022,Honda,Civic,Sport,Boost Blue Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,22942,FALSE,TRUE,TRUE,29999
2022,Honda,Accord,Sport 1.5T,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,18321,FALSE,TRUE,TRUE,28163
2013,Honda,Civic,LX,Black,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,77758,FALSE,FALSE,TRUE,17195
2017,Honda,Pilot,Elite,Dark Cherry Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,43439,FALSE,FALSE,FALSE,32974
2020,Honda,Civic,Sport,Cosmic Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,26278,FALSE,FALSE,TRUE,27999
2014,Honda,Accord,EX-L,Crystal Black Pearl,Parchment,Front-wheel Drive,Gasoline,6-Speed Auto,134090,FALSE,FALSE,TRUE,14998
2019,Honda,Civic,EX,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,39281,FALSE,TRUE,TRUE,23362
2019,Honda,Civic,EX,Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,Automatic CVT,30306,FALSE,TRUE,TRUE,22995
2020,Honda,Civic,LX,Aegean Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,22131,FALSE,TRUE,TRUE,21995
2020,Honda,Civic,Sport,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,32941,TRUE,TRUE,TRUE,22995
2020,Honda,Civic,Sport,Aegean Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,33523,FALSE,TRUE,TRUE,22999
2020,Honda,Civic,Sport,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,29399,FALSE,TRUE,TRUE,23495
2020,Honda,Civic,LX,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,33940,FALSE,TRUE,TRUE,21995
2022,Honda,Civic,Sport,Platinum,Black,Front-wheel Drive,Gasoline,Automatic CVT,16940,FALSE,TRUE,TRUE,27800
2013,Honda,Accord,EX-L,Silver,Black,Front-wheel Drive,Gasoline,6-Speed Automatic,58684,FALSE,TRUE,TRUE,19998
2022,Honda,CR-V,EX,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,910,FALSE,TRUE,TRUE,32300
2017,Honda,Pilot,EX-L,Lunar Silver Metallic,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,58580,TRUE,TRUE,TRUE,26995
2019,Honda,Civic,LX,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,159444,TRUE,TRUE,TRUE,14991
2017,Honda,Civic,LX,Blue,Black,Front-wheel Drive,Gasoline,6-Speed Manual,47868,FALSE,TRUE,TRUE,20998
2009,Honda,Pilot,LX,Gray,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,120965,TRUE,TRUE,TRUE,10950
2020,Honda,Accord Hybrid,EX-L,Silver,Black,Front-wheel Drive,Hybrid,Automatic CVT,43579,FALSE,TRUE,TRUE,28999
2014,Honda,Civic,EX-L,White,Gray,FWD,Gasoline,Automatic CVT,30642,FALSE,TRUE,TRUE,20998
2016,Honda,HR-V,EX,Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,52586,FALSE,FALSE,TRUE,18990
2016,Honda,Odyssey,EX-L,Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,139894,TRUE,TRUE,TRUE,15998
2022,Honda,Civic,LX,Gray,Gray,Front-wheel Drive,Gasoline,Automatic CVT,7516,FALSE,TRUE,TRUE,28233
2021,Honda,Civic,Sport,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,21038,FALSE,TRUE,TRUE,30995
2013,Honda,Pilot,LX,Black,Gray,Front-wheel Drive,Gasoline,5-Speed Automatic,144521,TRUE,FALSE,TRUE,12995
2014,Honda,CR-V,EX-L,Blue,Beige,Front-wheel Drive,Gasoline,5-Speed Automatic,116792,TRUE,TRUE,TRUE,17995
2014,Honda,CR-V,LX,Black,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,142304,TRUE,FALSE,TRUE,14995
2007,Honda,Odyssey,EX-L,Burgundy,Champagne,Front-wheel Drive,Gasoline,Automatic,146898,TRUE,FALSE,TRUE,6500
2018,Honda,Civic Si,,White Orchid Pearl,Black,Front-wheel Drive,Gasoline,6-Speed Manual,53781,TRUE,FALSE,TRUE,20995
2019,Honda,Accord,Sport,Still Night Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,38481,FALSE,TRUE,TRUE,24966
